,country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
0,Albania,-8.677,25.905,32.619,13394.46,108.613,-6.713,22.79,14.074,2.878,11.675,-27.509,-19.517,203.32,75.927,-3.482,15.161,EU,S2,Very High,20%-30%
1,Algeria,-12.677,30.128,36.868,10747.35,211.18,-6.74,42.597,29.921,43.851,14.652,-4.154,-18.914,261.583,51.324,-4.9,147.6,AF,S2,40%-60%,>40
2,Argentina,0.852,33.466,42.092,19685.74,619.207,-8.626,17.913,18.765,45.388,11.55,-13.124,-10.722,4400.78,102.79,-9.895,389.064,SA,S3,Very High,0%-20%
3,Armenia,-3.787,25.247,30.649,12631.53,218.396,-5.403,18.532,14.746,2.962,18.1,-35.571,-30.991,162.702,63.476,-7.395,12.641,AS,S2,Very High,0%-20%
4,Australia,2.595,36.09,44.674,49088.42,116.175,-8.585,22.271,24.87,25.684,6.492,-9.822,-13.014,100.348,57.828,-2.179,1357.32,OC,S3,40%-60%,20%-30%
5,Austria,1.899,48.749,57.06,52262.89,131.81,-8.311,25.901,27.8,8.901,5.4,-10.759,-9.377,108.886,83.213,-6.735,432.912,EU,S4,Very High,20%-30%
6,Azerbaijan,-0.533,33.72,40.242,13758.21,263.348,-6.523,24.235,22.794,10.067,7.157,-9.02,-9.744,253.606,21.327,-4.31,42.693,AS,S3,20%-40%,20%-30%
7,Belgium,0.84,50.116,59.184,49036.14,108.227,-9.068,24.161,25.002,11.522,5.733,-6.493,-7.014,108.588,112.77,-5.66,521.445,EU,S4,Very High,20%-30%
8,Bolivia,-0.382,25.26,37.976,7882.11,104.422,-12.717,15.778,12.47,11.63,8.3,-18.824,-23.841,563.061,78.129,-8.738,36.897,SA,S2,Very High,0%-20%
9,Bosnia and Herzegovina,-3.768,41.276,45.956,13750.52,100.117,-4.68,22.664,18.897,3.487,15.9,-17.044,-13.308,108.94,36.533,-3.119,19.951,EU,S3,20%-40%,20%-30%
10,Brazil,-1.691,29.535,42.867,14117.32,35457162626753.9,-13.332,15.931,14.24,211.756,13.775,-1.367,-8.64,645.17,98.682,-3.879,1448.55,SA,S3,Very High,0%-20%
11,Bulgaria,-0.263,35.037,37.981,22506.52,106.274,-2.944,20.34,20.077,6.917,5.207,-10.585,-5.021,123.779,23.304,-4.387,69.995,EU,S3,20%-40%,20%-30%
12,Cabo Verde,-15.895,26.53,35.641,6036.15,101.718,-9.111,36.106,20.211,0.557,8.5,-53.215,-8.005,115.009,158.816,-14.783,1.707,AF,S2,Very High,30%-40%
13,Canada,-1.786,41.647,53.007,46405.46,136.958,-11.36,22.257,20.471,37.995,9.583,-9.71,-10.839,110.371,117.755,-5.233,1645.42,NA,S4,Very High,20%-30%
14,Chile,-1.892,22.12,29.272,22061.27,105.37,-7.151,21.598,19.924,19.458,10.77,-1.203,-12.809,111.537,32.58,-6.063,252.501,SA,S2,20%-40%,20%-30%
15,China,1.674,25.685,36.378,16226.1,111.447,-10.693,42.857,44.531,1412.12,4.24,2.121,-0.967,112.142,68.063,2.244,14862.56,AS,S2,Very High,>40
16,Colombia,-3.405,26.584,33.56,13672.27,105.142,-6.976,19.244,15.84,50.372,16.067,-9.117,-15.919,121.927,65.658,-7.048,270.415,SA,S2,Very High,0%-20%
17,Costa Rica,-1.141,13.966,22.408,19249.23,99.301,-8.442,15.804,14.662,5.128,19.98,-10.939,-10.19,104.979,67.167,-4.051,62.144,NA,S1,Very High,0%-20%
18,Croatia,-0.113,47.127,54.489,27053.24,102.383,-7.362,23.909,23.796,4.048,9.0,-22.726,-12.26,104.964,87.281,-8.1,57.204,EU,S4,Very High,20%-30%
19,Cyprus,-10.071,39.282,44.984,39200.15,99.674,-5.702,19.016,9.055,0.888,7.575,-5.106,-2.548,101.677,114.961,-4.985,24.672,AS,S3,Very High,0%-20%
20,Czech Republic,3.574,41.639,47.224,38672.9,111.767,-5.585,25.92,29.494,10.694,2.541,-6.922,-6.859,113.982,37.746,-5.798,245.339,EU,S3,20%-40%,20%-30%
21,Denmark,8.139,53.251,53.434,56065.51,102.875,-0.183,22.926,31.065,5.823,5.658,-7.007,-4.08,111.43,42.103,-2.061,356.085,EU,S4,40%-60%,20%-30%
