,country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
22,Dominican Republic,-1.953,14.187,22.092,17652.97,100.752,-7.905,25.383,23.43,10.448,5.829,-33.725,-11.718,181.897,71.533,-6.72,78.923,NA,S1,Very High,20%-30%
23,Ecuador,2.583,29.618,35.73,10403.08,105.129,-6.111,22.046,24.628,17.511,5.346,0.216,-14.913,149.802,60.89,-7.788,99.291,SA,S2,Very High,20%-30%
24,Egypt,-3.068,19.153,27.001,12157.5,105.692,-7.848,13.742,10.675,100.6,8.296,-3.775,0.356,146.551,89.647,3.57,364.023,AF,S1,Very High,0%-20%
25,El Salvador,0.491,24.525,32.715,8056.56,112.027,-8.19,17.906,18.397,6.486,11.973,-21.221,-7.135,104.972,89.164,-7.942,24.639,NA,S2,Very High,0%-20%
26,Estonia,-0.258,40.289,45.885,35341.82,109.795,-5.596,30.244,29.986,1.329,6.806,-4.978,0.856,113.293,18.996,-2.951,30.626,EU,S3,5%-20%,30%-40%
27,Finland,0.834,51.468,56.892,47442.51,103.976,-5.423,24.484,25.317,5.525,7.758,-7.473,-6.643,106.098,68.986,-2.3,271.619,EU,S4,Very High,20%-30%
28,France,-1.901,52.633,61.716,43813.22,105.498,-9.084,23.663,21.762,65.284,8.008,-16.117,-12.164,107.17,115.152,-7.987,2621.96,EU,S4,Very High,20%-30%
29,Georgia,-12.405,25.213,34.468,13988.18,140.564,-9.255,23.857,11.452,3.717,18.5,-37.011,-17.914,131.12,60.19,-6.76,15.846,AS,S2,Very High,20%-30%
30,Germany,7.089,46.529,50.842,51718.75,105.842,-4.313,21.149,28.238,83.161,3.833,-10.093,-9.179,108.742,68.724,-4.56,3843.34,EU,S4,Very High,20%-30%
31,Greece,-7.335,48.932,59.804,26979.07,119.943,-10.872,14.998,7.663,10.719,16.4,-26.177,-7.313,98.952,211.897,-9.019,188.684,EU,S4,Very High,0%-20%
32,Honduras,2.775,23.352,28.001,5119.06,342.567,-4.649,18.721,21.496,9.942,9.4,-13.215,-8.353,291.497,50.972,-8.965,23.828,NA,S1,40%-60%,0%-20%
33,Hong Kong,6.984,20.68,29.911,56326.49,99.867,-9.231,18.952,25.933,7.427,5.828,-6.684,-6.858,100.575,0.998,-6.497,344.879,AS,S2,0%-5%,0%-20%
34,Hungary,-1.587,43.291,51.355,31423.26,125.812,-8.064,27.274,25.906,9.77,4.115,-5.933,-3.485,122.627,80.036,-4.676,155.808,EU,S4,Very High,20%-30%
35,Iceland,0.822,42.056,50.731,52824.48,170.672,-8.674,21.356,22.177,0.364,6.433,-30.227,-21.555,114.603,77.408,-7.071,21.625,EU,S4,Very High,20%-30%
36,Indonesia,-0.418,12.465,18.604,11586.23,104.909,-6.139,32.355,31.936,270.204,7.07,-3.943,-14.772,143.97,39.761,-2.065,1059.9,AS,S1,20%-40%,30%-40%
37,Ireland,-2.654,22.425,27.364,91035.79,101.183,-4.939,40.882,38.228,4.993,5.842,9.498,-7.443,98.788,58.434,5.867,425.549,EU,S1,40%-60%,>40
38,Islamic Republic of Iran,-0.075,7.936,13.029,14945.21,262.281,-5.093,42.397,42.322,84.139,9.6,-1.932,-20.169,271.146,45.642,1.762,938.052,AS,S1,40%-60%,>40
39,Israel,5.445,34.527,45.352,39128.19,99.958,-10.825,22.117,27.563,9.214,4.3,-1.893,-9.461,104.369,71.672,-2.153,407.101,AS,S3,Very High,20%-30%
40,Italy,3.747,47.4,56.997,39135.84,103.025,-9.597,17.704,21.45,59.641,9.342,-13.426,-12.111,105.334,155.313,-9.026,1891.06,EU,S4,Very High,0%-20%
41,Japan,2.953,35.569,44.521,39964.87,99.994,-8.952,25.415,28.368,125.849,2.783,-11.797,-7.187,101.879,258.996,-4.498,5040.11,AS,S3,,20%-30%
42,Kazakhstan,-3.791,17.509,24.546,25172.41,457.28,-7.037,28.765,24.974,18.877,4.925,-1.365,-27.79,492.081,26.357,-2.6,171.082,AS,S1,20%-40%,20%-30%
43,"Korea, Republic of",4.633,22.952,25.194,42426.54,100.0,-2.242,31.861,36.177,51.781,3.942,-1.842,-3.33,105.241,48.889,-0.852,1638.26,AS,S1,40%-60%,30%-40%
44,Montenegro,-6.973,25.641,33.523,10710.6,105.628,-7.882,33.406,26.433,1.789,25.95,-27.851,-6.196,104.35,22.487,-5.341,7.728,EU,S2,20%-40%,30%-40%
45,Kuwait,3.215,52.775,65.538,41006.31,187.842,-12.763,25.227,28.443,4.671,1.276,-9.866,-14.961,90.11,11.706,-8.855,105.949,AS,S4,5%-20%,20%-30%
46,Latvia,2.869,38.431,42.331,29953.67,108.618,-3.9,21.676,24.564,1.908,8.099,-2.153,-2.465,110.526,43.283,-3.769,33.619,EU,S3,40%-60%,20%-30%
47,Lithuania,7.338,34.907,42.175,37178.19,110.628,-7.268,13.47,20.809,2.795,8.488,0.434,-4.38,114.172,46.58,-0.132,56.502,EU,S3,40%-60%,0%-20%
48,Luxembourg,4.281,43.915,47.732,113850.82,105.938,-3.817,17.9,22.18,0.626,6.355,1.253,1.586,107.769,24.751,-1.777,73.294,EU,S4,20%-40%,0%-20%
49,Malaysia,4.236,20.643,25.267,26294.59,120.1,-4.624,19.733,23.969,32.584,4.525,0.166,-9.22,105.412,67.783,-5.647,337.28,AS,S1,Very High,0%-20%
50,Malta,-3.069,35.796,45.717,41353.65,106.368,-9.921,21.986,18.918,0.515,4.367,-5.62,-2.228,110.582,53.282,-8.349,14.905,EU,S3,40%-60%,20%-30%
51,Mauritius,-12.496,22.654,33.599,19441.36,106.314,-10.945,18.981,15.305,1.267,9.2,-37.862,-11.377,136.814,99.184,-14.898,10.921,AF,S2,Very High,0%-20%
52,Mexico,2.411,24.226,28.65,18124.47,107.425,-4.424,19.162,21.573,127.792,4.409,-7.292,-13.735,137.592,60.297,-8.167,1087.12,NA,S1,Very High,0%-20%
53,Moldova,-7.687,31.369,36.686,12087.68,58021.23,-5.317,23.864,16.177,2.634,3.825,-21.332,0.258,1629.05,36.685,-8.3,11.53,EU,S2,20%-40%,20%-30%
54,Mongolia,-5.067,27.889,37.124,11447.15,124.883,-9.236,22.384,17.316,3.358,7.0,-15.064,-13.08,140.509,91.336,-4.558,13.313,AS,S2,Very High,20%-30%
55,Morocco,-1.467,28.558,36.118,7288.63,102.451,-7.56,28.449,26.982,35.952,12.2,-20.738,-8.772,115.485,76.408,-6.293,114.724,AF,S2,Very High,20%-30%
56,Netherlands,6.978,41.07,45.493,54671.24,106.955,-4.423,21.742,28.72,17.408,4.851,-4.756,-5.415,109.851,52.755,-3.825,913.134,EU,S3,40%-60%,20%-30%
57,New Zealand,-0.821,37.648,41.682,40372.39,150.912,-4.034,21.659,20.838,5.086,4.625,-12.855,-15.917,127.982,43.121,-2.074,210.698,OC,S3,40%-60%,20%-30%
58,Nicaragua,5.858,26.852,28.975,5384.31,234.634,-2.123,19.177,25.035,6.496,7.293,-9.651,-0.883,255.212,47.919,-1.977,12.62,NA,S2,40%-60%,0%-20%
59,Norway,1.114,54.476,57.29,62387.43,121.817,-2.814,30.305,31.424,5.385,4.595,-1.225,-11.936,96.395,46.802,-0.717,362.198,EU,S4,40%-60%,30%-40%
60,Pakistan,-1.486,13.27,20.304,5253.02,129.763,-7.034,14.984,13.498,218.24,7.6,-2.057,-13.359,137.48,79.587,-1.002,299.296,AS,S1,Very High,0%-20%
61,Panama,2.226,18.269,28.775,25605.04,103.229,-10.506,24.059,26.286,4.279,18.548,-26.84,-29.858,152.824,65.562,-17.945,53.977,NA,S1,Very High,20%-30%
62,Paraguay,2.711,18.642,25.833,12153.22,106.517,-7.192,20.041,22.752,7.253,7.708,-5.137,-15.191,116.086,36.899,-0.82,35.432,SA,S1,20%-40%,20%-30%
63,Peru,0.753,17.893,26.24,11262.11,134.175,-8.347,19.266,20.02,33.494,13.9,-13.734,-11.077,147.617,35.085,-11.018,205.233,SA,S1,20%-40%,0%-20%
64,Philippines,3.203,20.642,26.375,8012.89,104.825,-5.733,17.383,20.586,108.77,10.4,-16.898,-23.505,102.347,51.675,-9.573,361.489,AS,S1,40%-60%,0%-20%
65,Poland,2.936,41.531,48.669,32448.5,182.531,-7.138,17.248,20.185,37.958,3.2,0.133,-1.152,111.096,57.445,-2.549,596.633,EU,S4,40%-60%,0%-20%
66,Portugal,-1.069,43.501,49.341,32001.69,103.579,-5.84,18.752,17.558,10.297,7.142,-18.631,-11.88,107.202,135.186,-8.442,228.356,EU,S4,Very High,0%-20%
67,Romania,-5.021,28.831,38.637,28983.44,127.092,-9.806,24.442,19.428,19.329,5.035,-9.348,-5.859,126.343,49.643,-3.748,249.512,EU,S3,40%-60%,20%-30%
68,Russia,2.429,35.276,39.278,26708.09,123.318,-4.001,23.484,25.913,146.171,5.783,-4.044,-11.89,120.412,19.217,-2.7,1483.38,EU,S3,5%-20%,20%-30%
69,Saudi Arabia,-3.066,29.52,40.784,44096.75,101.28,-11.264,27.626,24.56,35.013,7.4,-13.449,-16.139,104.146,32.374,-4.138,703.368,AS,S3,20%-40%,20%-30%
70,Serbia,-4.122,40.983,48.225,18193.8,200.01,-7.242,24.196,20.075,6.927,10.093,-5.373,-2.064,111.911,57.884,-0.945,53.335,EU,S4,40%-60%,20%-30%
71,Seychelles,-23.01,35.662,53.035,27213.25,113.18,-17.373,22.383,-0.627,0.097,3.0,-23.522,-25.439,104.728,89.097,-7.723,1.202,AF,S4,Very High,20%-30%
72,Singapore,16.838,17.852,23.711,94505.64,99.818,-5.859,22.454,39.292,5.686,3.0,-0.247,-2.285,103.329,152.001,-4.143,345.286,AS,S1,Very High,20%-30%
73,Slovak Republic,0.103,40.055,45.552,31344.62,108.462,-5.497,18.859,18.961,5.458,6.65,-7.39,-8.405,107.802,59.742,-4.359,105.088,EU,S3,40%-60%,0%-20%
74,Slovenia,7.38,43.509,51.322,37333.29,104.758,-7.813,19.998,27.378,2.096,5.008,-8.663,-9.579,113.165,79.762,-4.23,53.547,EU,S4,Very High,0%-20%
75,South Africa,1.989,25.128,34.863,12599.28,93.292,-9.735,12.746,14.734,59.622,29.175,-11.95,-17.423,129.008,69.427,-6.432,335.344,AF,S2,Very High,0%-20%
76,Spain,0.825,41.48,52.434,36258.78,97.0,-10.954,20.691,21.516,47.356,15.533,-20.151,-15.193,105.386,119.951,-10.823,1280.46,EU,S4,Very High,20%-30%
77,Sri Lanka,-1.342,9.172,21.931,12536.94,135.367,-12.759,25.384,24.044,21.919,5.5,-29.591,-20.508,157.104,101.237,-3.569,80.677,AS,S1,Very High,20%-30%
78,Sweden,6.073,48.62,51.44,51571.89,107.632,-2.819,24.771,30.844,10.379,8.533,-4.82,-5.32,100.0,39.628,-2.944,541.487,EU,S4,20%-40%,20%-30%
79,Switzerland,2.817,33.661,36.481,69429.21,100.422,-2.821,28.525,31.342,8.606,3.143,-6.438,-4.392,99.168,42.383,-2.515,751.743,EU,S2,40%-60%,20%-30%
80,"Taiwan, Province of China",14.188,15.335,18.258,53128.31,102.98,-2.922,24.193,39.93,23.561,3.85,0.75,-3.265,99.698,32.598,3.359,669.25,AS,S1,20%-40%,20%-30%
81,Thailand,4.233,20.652,25.365,17253.07,99.151,-4.713,23.662,27.895,69.8,2.0,-19.682,-14.139,152.772,49.752,-6.195,500.293,AS,S1,40%-60%,20%-30%
82,Bahamas,-23.519,18.466,25.677,31507.94,108.07,-7.21,20.611,-2.908,0.385,25.55,-68.074,-24.173,102.504,75.07,-14.515,9.908,NA,S1,Very High,20%-30%
83,Tunisia,-5.897,25.471,34.526,10184.11,132.02,-9.055,12.323,6.426,11.903,17.4,-10.958,-15.005,136.422,82.877,-9.34,42.502,AF,S2,Very High,0%-20%
84,Turkey,-4.936,28.87,33.962,28867.79,469.591,-5.091,31.886,26.796,83.614,13.147,-14.694,6.79,279.776,39.518,1.794,719.919,AS,S2,20%-40%,30%-40%
85,Ukraine,3.33,39.968,45.928,12511.24,90264859.78,-5.961,7.515,10.846,41.403,9.15,11.448,-3.54,167.1,61.001,-3.8,155.3,EU,S3,Very High,
86,United Kingdom,-2.502,36.16,48.921,42975.53,108.736,-12.761,16.693,14.192,67.081,4.525,-12.961,-15.769,105.091,102.608,-9.27,2758.87,EU,S4,Very High,0%-20%
87,United States,-2.949,30.804,45.296,59803.38,258.838,-14.492,21.152,19.158,331.234,8.092,-13.561,-8.933,113.647,134.238,-3.405,20893.75,NA,S3,Very High,20%-30%
88,Uruguay,-0.839,28.124,32.793,21200.62,216.725,-4.668,17.423,16.585,3.531,10.35,-19.065,-12.71,135.485,68.143,-6.115,53.561,SA,S2,Very High,0%-20%
89,Uzbekistan,-5.021,26.356,28.873,7415.02,313.051,-2.517,38.674,33.652,33.905,10.531,-20.029,-12.844,100.0,37.601,1.886,59.893,AS,S1,20%-40%,30%-40%
90,Vietnam,4.391,18.535,22.444,10331.25,282.118,-3.909,32.11,36.485,97.406,3.3,3.569,2.655,159.726,41.668,2.944,342.941,AS,S1,40%-60%,30%-40%
