country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
"Taiwan, Province of China",10.658,15.505,17.281,51310.48,103.167,-1.776,23.8,35.756,23.603,3.73,2.068,2.273,98.415,32.726,3.064,611.396,AS,S1,20%-40%,20%-30%
Thailand,6.993,21.005,21.82,18438.65,99.998,-0.815,23.806,30.799,69.626,1.0,-2.954,-5.167,154.646,41.058,2.152,544.027,AS,S1,40%-60%,20%-30%
Bahamas,-2.728,18.374,20.035,37269.26,108.028,-1.661,26.51,23.782,0.381,10.1,6.423,-2.875,116.431,59.615,0.703,13.164,NA,S1,40%-60%,20%-30%
Tunisia,-7.837,26.012,29.626,11347.71,124.977,-3.614,19.62,11.783,11.783,14.889,-5.056,-8.566,126.838,68.972,1.512,41.772,AF,S2,Very High,0%-20%
Turkey,0.697,30.919,35.668,28515.69,418.236,-4.749,25.049,26.054,83.155,13.731,7.373,-4.018,243.651,32.663,0.89,760.516,AS,S3,20%-40%,20%-30%
Ukraine,-2.733,39.382,41.348,12902.8,87857948.11,-1.967,14.89,12.158,41.733,8.5,6.411,7.198,152.519,50.492,3.199,153.997,EU,S4,40%-60%,0%-20%
United Kingdom,-2.668,36.038,38.248,47567.99,107.819,-2.209,18.007,15.34,66.797,3.825,3.358,2.927,100.0,83.85,1.672,2880.36,EU,S3,Very High,0%-20%
United States,-2.209,30.08,35.808,62417.55,255.647,-5.728,21.365,19.446,328.547,3.675,-0.067,1.15,112.294,108.8,2.289,21372.6,NA,S3,Very High,20%-30%
Uruguay,1.601,28.312,31.07,22660.77,197.46,-2.758,14.639,16.24,3.519,8.925,-2.036,-3.228,122.026,60.456,0.35,61.231,SA,S2,Very High,0%-20%
Uzbekistan,-5.619,27.88,27.285,7419.93,277.361,0.595,40.522,34.904,33.256,8.976,16.188,15.958,89.569,28.36,5.71,59.907,AS,S2,20%-40%,>40
Vietnam,3.711,19.648,20.05,10131.71,273.311,-0.402,31.802,35.497,96.484,2.17,6.715,6.944,157.193,41.292,7.15,327.873,AS,S1,40%-60%,30%-40%
