country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
Sweden,2.39,49.783,48.748,51740.37,101.133,1.035,24.715,27.105,9.995,7.117,1.919,4.803,91.629,42.255,2.071,515.655,EU,S4,40%-60%,20%-30%
Switzerland,8.003,32.317,32.081,69476.77,99.33,0.236,24.708,32.711,8.327,3.323,6.57,5.258,99.43,40.484,1.987,695.402,EU,S2,40%-60%,20%-30%
"Taiwan, Province of China",13.121,15.328,17.521,47008.92,100.0,-2.193,21.632,36.112,23.54,3.92,-4.869,-5.347,100.0,35.364,2.165,543.081,AS,S1,20%-40%,20%-30%
Thailand,10.505,21.919,21.35,16782.1,97.601,0.569,21.105,31.611,68.971,1.0,2.696,-0.992,148.148,41.745,3.435,413.497,AS,S1,40%-60%,20%-30%
Bahamas,-12.28,16.084,18.61,36637.41,101.542,-2.526,27.83,15.55,0.368,12.15,4.28,8.21,111.552,50.598,0.091,11.993,NA,S1,40%-60%,20%-30%
Tunisia,-8.775,21.344,27.213,11017.68,103.629,-5.869,20.475,11.7,11.403,15.544,2.021,5.155,104.935,60.454,1.117,44.36,AF,S2,Very High,20%-30%
Turkey,-3.11,32.505,34.843,26599.44,280.846,-2.338,28.02,24.98,79.815,10.915,-0.874,3.05,165.543,27.999,3.323,869.28,AS,S2,20%-40%,20%-30%
Ukraine,-1.494,38.326,40.555,11612.98,64137482.21,-2.229,21.724,20.23,42.415,9.45,-3.381,8.278,100.0,79.513,2.417,93.313,EU,S3,Very High,20%-30%
United Kingdom,-5.326,35.872,39.175,45852.77,100.66,-3.303,17.736,12.41,65.648,4.875,3.342,3.532,94.387,85.832,2.263,2732.96,EU,S3,Very High,0%-20%
United States,-2.127,31.249,35.585,58937.87,240.005,-4.336,20.567,18.907,323.221,4.875,0.407,1.451,105.74,107.165,1.668,18695.1,NA,S3,Very High,20%-30%
Uruguay,0.829,27.101,29.773,22357.8,160.138,-2.672,17.455,18.283,3.48,7.867,-6.097,-10.259,100.0,56.78,1.69,57.237,SA,S2,40%-60%,0%-20%
Uzbekistan,0.249,24.072,23.304,6721.48,180.96,0.769,24.094,24.343,31.575,5.163,4.349,-1.307,50.244,8.192,5.932,85.658,AS,S1,5%-20%,20%-30%
Vietnam,0.248,19.067,22.231,8585.48,248.051,-3.164,31.6,31.829,92.695,2.3,11.026,12.863,142.982,47.548,6.69,252.146,AS,S1,40%-60%,30%-40%
