,country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
0,Albania,-6.754,27.485,28.802,13570.55,105.393,-1.317,24.118,17.109,2.883,12.3,3.469,5.765,199.442,69.466,4.019,15.157,EU,S2,Very High,20%-30%
1,Algeria,-9.645,33.38,37.805,11546.61,202.253,-4.426,47.279,37.634,42.578,11.731,-7.913,-1.533,273.909,38.256,1.2,175.372,AF,S3,20%-40%,>40
2,Argentina,-5.165,33.508,38.949,22747.24,283.959,-5.441,16.614,11.449,44.495,9.2,-0.264,-5.591,2084.43,85.246,-2.617,524.431,SA,S3,Very High,0%-20%
3,Armenia,-7.03,22.298,24.05,12644.05,212.681,-1.752,22.4,15.369,2.969,19.0,9.045,13.181,157.849,51.233,5.225,12.458,AS,S1,40%-60%,20%-30%
4,Australia,-2.14,35.732,36.991,50201.49,113.35,-1.259,24.2,21.991,25.171,5.3,5.08,4.323,96.457,41.764,2.77,1416.98,OC,S3,40%-60%,20%-30%
5,Austria,0.904,48.909,48.739,55315.31,128.089,0.17,25.723,26.627,8.885,5.233,5.139,5.341,104.726,74.045,2.502,455.374,EU,S4,Very High,20%-30%
6,Azerbaijan,12.844,38.612,33.078,14269.47,249.352,5.534,20.129,30.56,9.898,4.944,1.413,-2.813,274.441,18.685,1.5,47.113,AS,S2,5%-20%,20%-30%
7,Belgium,-0.822,51.397,52.239,51437.03,106.437,-0.842,25.369,24.547,11.399,6.033,0.812,1.25,105.363,99.858,1.819,543.52,EU,S4,Very High,20%-30%
8,Bolivia,-4.251,28.951,37.094,8688.55,101.579,-8.143,20.596,16.123,11.31,4.0,4.595,3.012,577.703,53.076,4.224,40.581,SA,S3,40%-60%,20%-30%
9,Bosnia and Herzegovina,-3.279,42.681,41.025,13767.02,100.619,1.656,23.726,20.447,3.496,18.4,6.559,3.374,105.961,34.271,3.74,20.184,EU,S4,20%-40%,20%-30%
10,Brazil,-2.684,30.674,37.704,14736.81,33117565218738.1,-7.03,15.095,12.411,208.495,12.375,3.428,7.496,588.757,85.642,1.784,1916.93,SA,S3,Very High,0%-20%
11,Bulgaria,0.946,34.434,34.311,22355.83,102.476,0.123,21.214,22.16,7.0,5.273,1.737,5.763,112.876,20.066,2.685,66.428,EU,S2,20%-40%,20%-30%
12,Cabo Verde,-5.223,28.23,30.88,6864.15,100.0,-2.651,36.509,31.286,0.544,12.2,9.755,10.49,115.359,125.591,4.531,1.967,AF,S2,Very High,30%-40%
13,Canada,-2.377,41.022,40.662,49352.63,133.383,0.36,23.377,21.0,37.003,5.908,3.825,3.309,107.957,88.852,2.777,1725.3,NA,S3,Very High,20%-30%
14,Chile,-4.551,24.146,25.629,24166.09,100.006,-1.483,24.183,19.612,18.751,7.377,4.897,8.617,100.014,25.812,3.98,295.27,SA,S2,20%-40%,20%-30%
15,China,0.174,28.993,33.277,15050.18,105.772,-4.283,43.961,44.136,1405.41,3.8,3.991,7.263,108.47,53.845,6.751,13841.81,AS,S2,40%-60%,>40
16,Colombia,-4.202,29.99,34.658,14879.12,99.065,-4.668,21.195,16.993,48.258,9.667,0.643,5.805,115.665,53.584,2.564,334.124,SA,S3,40%-60%,20%-30%
17,Costa Rica,-2.991,13.235,18.965,20002.17,96.563,-5.73,18.37,15.378,5.022,11.951,4.891,2.856,102.192,51.839,2.616,62.422,NA,S1,40%-60%,0%-20%
18,Croatia,1.885,45.665,45.436,28168.77,101.492,0.229,23.178,25.063,4.088,9.858,3.708,7.501,103.12,73.208,2.9,62.248,EU,S4,Very High,20%-30%
19,Cyprus,-3.969,39.197,42.692,40264.44,100.23,-3.495,19.271,15.374,0.864,8.35,7.271,4.323,101.688,98.351,5.693,25.535,AS,S4,Very High,0%-20%
20,Czech Republic,0.446,41.516,40.603,40160.98,105.342,0.913,27.202,27.648,10.61,2.243,3.707,5.784,105.095,32.065,3.199,248.95,EU,S3,20%-40%,20%-30%
21,Denmark,7.282,51.309,50.548,56463.28,101.792,0.76,22.599,29.881,5.781,5.1,3.352,5.093,107.793,34.0,1.991,356.841,EU,S4,20%-40%,20%-30%
22,Dominican Republic,-1.543,14.191,16.352,18334.61,95.355,-2.16,25.796,24.252,10.266,5.656,4.267,5.477,169.414,50.465,6.983,85.63,NA,S1,40%-60%,20%-30%
23,Ecuador,-1.216,35.598,37.653,11603.14,105.206,-2.055,26.748,25.531,17.023,3.69,0.973,3.62,149.661,49.087,1.289,107.562,SA,S3,40%-60%,20%-30%
24,Egypt,-2.383,20.67,30.107,11521.27,87.808,-9.437,16.656,14.274,97.1,10.932,18.59,-0.186,121.426,92.484,5.314,250.253,AF,S2,Very High,0%-20%
25,El Salvador,-3.302,24.557,27.263,8614.02,112.359,-2.706,18.372,15.07,6.421,6.346,1.181,4.285,104.743,70.354,2.412,26.021,NA,S2,Very High,0%-20%
