,country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
26,Estonia,0.798,38.891,39.447,35181.98,108.045,-0.556,26.913,27.712,1.322,5.371,3.881,5.689,110.116,8.24,4.134,30.503,EU,S3,5%-20%,20%-30%
27,Finland,-1.845,52.468,53.321,48079.42,102.415,-0.853,25.227,23.382,5.513,7.408,1.503,5.732,102.928,59.779,1.142,275.84,EU,S4,40%-60%,20%-30%
28,France,-0.831,53.356,55.645,47073.92,103.603,-2.289,23.857,23.026,64.844,9.008,4.603,3.055,103.157,97.783,1.841,2789.68,EU,S4,Very High,20%-30%
29,Georgia,-6.771,26.37,27.187,14241.75,127.429,-0.817,28.123,21.352,3.73,19.2,10.233,10.23,116.188,38.886,4.843,17.599,AS,S2,20%-40%,20%-30%
30,Germany,7.95,46.239,44.325,53791.88,104.042,1.913,21.905,29.854,82.906,3.4,2.458,4.004,104.882,61.271,1.086,3979.09,EU,S4,Very High,20%-30%
31,Greece,-3.575,49.305,48.499,29066.92,120.851,0.806,13.15,9.575,10.741,19.3,8.847,8.312,99.541,190.147,1.668,212.146,EU,S4,Very High,0%-20%
32,Honduras,-6.572,26.353,26.156,5671.99,317.236,0.197,26.572,20.0,9.602,5.648,-1.137,2.468,267.546,39.711,3.845,24.068,NA,S2,20%-40%,20%-30%
33,Hong Kong,3.739,20.742,18.392,60769.13,96.825,2.35,21.995,25.731,7.488,2.815,3.654,4.487,97.996,0.052,2.847,361.731,AS,S1,0%-5%,20%-30%
34,Hungary,0.159,43.748,45.842,31501.42,117.799,-2.094,26.647,26.966,9.778,3.596,4.985,6.964,110.512,69.05,5.359,160.587,EU,S4,Very High,20%-30%
35,Iceland,3.521,44.755,43.843,57997.3,161.094,0.912,22.275,25.796,0.348,3.1,1.681,0.886,105.949,63.141,4.889,26.264,EU,S4,Very High,20%-30%
36,Indonesia,-2.938,14.881,16.631,11522.78,99.999,-1.75,34.571,31.633,264.162,5.24,6.312,14.645,142.327,30.423,5.174,1042.71,AS,S1,20%-40%,30%-40%
37,Ireland,4.91,25.479,25.33,83758.51,100.775,0.149,28.552,33.462,4.886,5.792,11.549,3.318,95.946,63.136,9.03,385.215,EU,S1,Very High,20%-30%
38,Islamic Republic of Iran,5.208,13.685,15.333,15207.74,142.79,-1.649,33.819,39.027,82.359,12.025,-15.841,-18.156,148.622,40.777,-2.254,513.417,AS,S1,40%-60%,30%-40%
39,Israel,2.795,35.811,39.434,39988.5,99.708,-3.623,21.907,24.701,8.879,3.975,5.088,6.803,101.451,60.358,3.983,373.641,AS,S3,Very High,20%-30%
40,Italy,2.527,46.208,48.394,42592.84,102.525,-2.186,18.527,21.054,59.938,10.625,2.141,3.438,102.957,134.442,0.926,2092.88,EU,S4,Very High,0%-20%
41,Japan,3.53,34.288,36.76,41733.35,99.554,-2.472,25.595,29.125,126.495,2.442,3.76,3.814,100.334,232.466,0.584,5037.83,AS,S3,,20%-30%
42,Kazakhstan,-0.077,21.426,18.847,25378.79,406.837,2.58,25.258,25.181,18.396,4.828,7.85,7.802,438.259,20.259,4.1,179.34,AS,S1,20%-40%,20%-30%
43,"Korea, Republic of",4.49,22.946,20.383,41993.06,99.086,2.563,31.487,35.948,51.607,3.833,3.976,1.713,104.756,40.022,2.907,1725.37,AS,S1,40%-60%,30%-40%
44,Montenegro,-7.626,26.601,29.463,10762.7,102.61,-2.861,36.295,28.668,1.796,29.5,9.09,10.897,101.946,17.137,3.406,7.882,EU,S2,5%-20%,30%-40%
45,Kuwait,14.397,58.247,50.972,45720.83,181.96,7.276,25.308,39.705,4.622,1.087,-0.354,1.537,105.054,15.103,2.437,138.202,AS,S4,5%-20%,20%-30%
46,Latvia,-0.206,37.33,38.067,29953.03,105.628,-0.738,23.255,23.061,1.934,7.415,4.464,6.434,107.88,37.099,3.989,34.445,EU,S3,20%-40%,20%-30%
47,Lithuania,0.295,33.749,33.152,35514.62,107.065,0.597,20.353,20.647,2.802,6.146,6.806,6.019,109.62,33.663,3.993,53.775,EU,S2,20%-40%,20%-30%
48,Luxembourg,4.678,45.134,42.126,116718.02,104.212,3.008,17.096,21.774,0.602,5.099,3.583,3.223,102.761,20.845,2.004,71.317,EU,S4,20%-40%,0%-20%
49,Malaysia,2.231,20.155,22.8,26849.89,120.683,-2.645,23.897,26.128,32.382,3.325,2.125,2.329,106.159,55.646,4.843,358.994,AS,S1,40%-60%,20%-30%
50,Malta,6.42,37.21,35.351,46104.62,103.954,1.859,20.988,27.408,0.476,3.658,-0.485,0.202,106.446,43.524,6.034,15.309,EU,S3,40%-60%,20%-30%
51,Mauritius,-3.917,22.535,24.763,22203.33,103.231,-2.228,19.405,18.721,1.266,6.9,3.39,3.789,134.331,66.223,3.76,14.182,AF,S1,Very High,0%-20%
52,Mexico,-1.99,23.464,25.662,20162.0,100.251,-2.198,22.711,20.721,125.328,3.32,6.004,6.43,127.021,53.649,2.195,1222.41,NA,S2,40%-60%,20%-30%
53,Moldova,-10.578,30.126,30.964,12262.68,53328.61,-0.838,25.615,15.037,2.73,3.05,6.2,8.9,1493.07,31.23,4.3,11.457,EU,S2,20%-40%,20%-30%
54,Mongolia,-16.709,31.26,28.406,11775.08,112.258,2.854,39.378,22.669,3.238,7.8,-1.199,30.537,123.201,88.22,7.745,13.207,AS,S2,Very High,30%-40%
55,Morocco,-5.266,26.141,29.84,7737.98,101.573,-3.699,33.401,28.136,35.22,9.4,1.796,4.331,112.97,65.198,3.149,118.096,AF,S2,Very High,30%-40%
56,Netherlands,10.842,42.872,41.442,56490.47,103.021,1.429,20.958,31.799,17.181,4.881,4.324,4.714,104.2,52.426,2.361,914.458,EU,S4,40%-60%,20%-30%
57,New Zealand,-3.973,37.35,36.098,41578.67,146.004,1.252,24.251,20.279,4.902,4.3,3.243,6.435,120.366,28.087,3.432,209.697,OC,S3,20%-40%,20%-30%
58,Nicaragua,-1.797,24.602,27.625,5734.23,214.756,-3.023,24.075,22.277,6.46,5.5,-2.572,-16.801,228.487,37.686,-3.363,13.025,NA,S2,20%-40%,20%-30%
59,Norway,7.953,55.862,47.998,63083.37,117.718,7.864,28.048,36.011,5.324,3.854,-1.224,1.396,100.475,39.658,1.119,437.0,EU,S4,20%-40%,20%-30%
60,Pakistan,-5.416,13.435,19.108,5353.95,109.779,-5.673,17.068,11.653,209.75,5.8,5.956,9.084,115.742,64.82,6.096,354.436,AS,S1,Very High,0%-20%
61,Panama,-7.623,19.774,22.968,31174.05,105.229,-3.194,41.481,33.858,4.159,5.956,2.585,-0.753,155.339,37.315,3.685,64.929,NA,S1,20%-40%,>40
62,Paraguay,0.052,18.949,20.596,12651.44,101.858,-1.647,22.782,22.834,7.053,6.236,-1.956,4.462,110.208,22.331,3.204,40.225,SA,S1,20%-40%,20%-30%
63,Peru,-1.741,19.409,21.409,12903.16,129.012,-2.0,21.627,19.886,32.162,6.7,1.631,1.358,138.558,26.183,3.977,225.37,SA,S1,20%-40%,20%-30%
64,Philippines,-2.559,19.298,20.85,8587.92,99.983,-1.552,27.151,24.591,105.76,5.325,8.036,9.734,100.0,37.134,6.341,346.842,AS,S1,20%-40%,20%-30%
65,Poland,-1.284,41.291,41.536,31773.19,172.546,-0.245,20.765,19.482,37.977,3.89,6.949,7.45,103.405,48.819,5.354,587.433,EU,S4,40%-60%,20%-30%
66,Portugal,0.554,42.891,43.24,34083.36,103.395,-0.349,18.29,17.779,10.284,7.167,4.15,5.055,103.352,121.481,2.849,242.423,EU,S4,Very High,0%-20%
67,Romania,-4.646,29.213,32.163,28598.67,119.254,-2.949,22.777,18.134,19.534,4.187,5.32,8.712,113.875,36.468,4.475,241.456,EU,S2,20%-40%,20%-30%
68,Russia,6.998,35.544,32.621,26747.21,114.18,2.923,21.918,28.916,146.781,4.8,5.127,2.661,115.883,13.62,2.807,1653.01,EU,S2,5%-20%,20%-30%
69,Saudi Arabia,8.814,29.574,35.228,48042.08,100.0,-5.654,26.376,35.19,33.414,6.0,8.803,2.239,116.293,18.281,2.514,816.578,AS,S3,5%-20%,20%-30%
70,Serbia,-4.84,41.5,40.688,17463.78,193.333,0.811,22.655,17.815,6.983,14.073,7.876,10.175,106.632,54.405,4.495,50.641,EU,S3,40%-60%,20%-30%
71,Seychelles,-17.402,35.133,36.162,29121.16,109.85,-1.029,28.989,11.587,0.095,3.0,-0.021,2.584,107.216,55.91,3.199,1.629,AF,S3,40%-60%,20%-30%
72,Singapore,15.153,17.569,13.885,98336.96,99.438,3.683,24.792,39.945,5.639,2.1,7.56,7.212,106.878,109.448,3.661,376.987,AS,S1,Very High,20%-30%
73,Slovak Republic,-2.207,38.813,39.824,32027.56,103.463,-1.012,23.2,20.993,5.443,6.542,4.565,3.985,102.746,49.629,3.794,105.661,EU,S3,40%-60%,20%-30%
74,Slovenia,5.955,44.248,43.504,38284.09,103.134,0.744,21.238,27.193,2.067,5.158,6.156,7.087,109.389,70.305,4.422,54.188,EU,S4,Very High,20%-30%
75,South Africa,-2.964,26.447,30.184,13840.86,86.758,-3.736,16.541,13.577,57.939,27.125,2.809,3.244,117.269,51.59,1.488,404.673,AF,S2,40%-60%,0%-20%
76,Spain,1.879,39.204,41.701,40364.12,96.638,-2.497,20.478,22.357,46.729,15.255,1.723,3.918,102.891,97.514,2.29,1421.64,EU,S4,Very High,20%-30%
77,Sri Lanka,-3.182,13.522,18.846,12860.32,124.125,-5.323,29.852,26.674,21.67,4.4,5.693,-0.543,147.857,84.193,3.272,87.954,AS,S1,Very High,20%-30%
78,Sweden,2.715,49.595,48.777,52860.89,105.118,0.818,26.008,28.724,10.23,6.508,4.253,4.146,95.829,38.908,1.95,555.455,EU,S4,20%-40%,20%-30%
79,Switzerland,6.08,32.561,31.289,71358.12,100.794,1.272,24.734,30.815,8.484,2.547,3.315,0.599,99.801,39.237,2.94,736.025,EU,S2,20%-40%,20%-30%
80,"Taiwan, Province of China",11.629,15.503,17.369,49815.03,102.607,-1.866,22.236,35.133,23.589,3.71,0.471,1.537,98.568,33.915,2.787,609.198,AS,S1,20%-40%,20%-30%
81,Thailand,5.611,21.416,21.352,18101.52,99.297,0.064,25.22,30.831,69.428,1.1,3.351,8.274,153.119,41.941,4.223,506.547,AS,S1,40%-60%,20%-30%
82,Bahamas,-9.342,16.218,19.513,37422.49,105.402,-3.295,25.522,16.18,0.377,10.35,23.732,-3.183,114.34,61.723,2.767,12.838,NA,S1,Very High,20%-30%
83,Tunisia,-10.41,24.419,28.685,11297.63,117.106,-4.265,22.964,12.554,11.659,15.53,3.473,0.954,118.679,74.779,2.547,42.687,AF,S2,Very High,20%-30%
84,Turkey,-2.788,30.823,34.558,28660.97,363.125,-3.735,29.377,27.694,82.004,10.907,9.973,-8.114,213.993,30.169,2.98,779.694,AS,S3,20%-40%,20%-30%
85,Ukraine,-3.272,39.572,41.722,12428.08,81436069.32,-2.15,18.588,15.316,41.984,9.0,1.904,8.496,140.9,60.424,3.488,130.916,EU,S4,Very High,0%-20%
86,United Kingdom,-3.878,36.279,38.439,47039.99,105.922,-2.159,17.867,13.99,66.436,4.075,2.777,3.072,98.025,84.49,1.651,2904.51,EU,S3,Very High,0%-20%
87,United States,-2.135,30.137,35.575,61305.19,251.099,-5.439,21.145,19.611,327.023,3.892,2.812,4.099,110.321,107.476,2.919,20527.15,NA,S3,Very High,20%-30%
88,Uruguay,-0.413,28.82,30.691,22662.6,183.033,-1.871,14.953,14.54,3.506,8.367,-0.753,-0.845,112.443,58.567,0.478,64.515,SA,S2,40%-60%,0%-20%
89,Uzbekistan,-6.829,26.958,24.933,7147.86,242.182,2.024,42.351,35.522,32.657,9.347,11.76,39.622,75.964,19.714,5.355,52.618,AS,S1,5%-20%,>40
90,Vietnam,1.903,19.547,20.573,9637.22,265.875,-1.026,31.888,33.775,94.666,2.19,10.892,8.813,154.316,43.712,7.197,303.091,AS,S1,40%-60%,30%-40%
